gene	PC1	PC2	PC3	PC4
COL17A1	0.0027103845	0.0024115801	-0.012030023	-0.018293852
COL1A1	-0.00079158332	0.11845497	0.0097020364	-0.006774456
COL1A2	0.0065873014	0.13112794	0.014742485	0.0043161703
COL25A1	0.016445604	-0.0052624277	0.038917795	0.033593807
COL7A1	0.0042590226	0.013758121	-0.040236643	0.0028672453
COL8A1	0.0020103858	0.045853757	0.029735853	-0.025359668
COL9A3	0.020611271	-0.0033855926	0.0027053189	0.0068474146
COLCA2	0.010661373	-0.00065205271	0.0048773882	0.014070815
COLGALT2	0.027204388	-0.0038542043	-0.0022653933	0.0036751016
COMMD3	-0.0076029807	0.0090999753	-0.022124056	-0.013485993
COMP	0.021259595	0.021108149	0.011032725	0.010727376
CORO2A	-0.0093268229	-0.019569066	0.00050939762	0.01929962
CORT	0.018459204	-0.0021368426	0.0043257069	0.012850427
COX7B2	0.017375739	0.004884672	0.00096824823	0.002540898
CP	-0.026782732	-0.035654974	-0.012658689	0.094564705
CPA3	0.017508336	0.021428836	0.0065448151	0.0049733488
CPE	0.037196583	-0.053956604	-0.0051230494	0.029458564
CPLX1	0.029881475	-0.018611299	0.0052745627	-0.019018156
CPLX2	0.019914607	-0.015036751	-0.0090595344	0.006231107
CPLX3	0.028297504	-0.0057982927	0.00093731249	0.0061271329
CPM	-0.0090023213	-0.00020718221	0.018255661	0.03398055
CPNE6	0.033816387	-0.01586398	0.00033311882	0.00048242801
CPS1	0.0048882592	-0.012983729	-0.022651239	0.055117027
CRABP1	0.014142675	-0.0023285059	0.0077322246	0.014661778
CRCT1	0.01491018	0.0084914457	-0.0016916502	0.010665055
CREB3L1	0.0041760327	0.0061574599	0.051405162	0.017853558
CREG2	0.031655748	-0.022991524	-0.0071107865	-0.00096066313
CRHBP	0.025453086	-0.0010927548	0.00049255268	0.008060422
CRISP3	0.019419887	-0.00040334556	-0.0015970596	0.016431525
CRISPLD2	0.021586981	0.058469102	0.0085551244	0.015370363
CRLF1	0.011739755	-0.012091203	0.063042588	0.04261679
CRTAC1	0.018715132	-0.0050564645	0.024260468	0.017140407
CRYAB	0.057487228	-0.024582528	-0.0057560633	-0.0028436301
CRYM	0.026908499	-0.027331694	0.021412341	0.012135737
CSF3R	0.012706509	0.018493261	0.046708021	0.02507363
CSMD1	0.026622872	-0.006955343	0.0042524303	0.0080568645
CSPG4	0.027219364	0.015576785	-0.007015755	0.0034338287
CSRP2	0.0080752085	0.019301115	0.0029854011	-0.00095255695
